# Time-averaged data for fix tav
# TimeStep c_thermo_temp
500 645.127
1000 644.368
1500 646.959
2000 642.972
2500 640.377
3000 642.573
3500 643.945
4000 643.613
4500 642.332
5000 642.26
5500 642.352
6000 644.061
6500 643.634
7000 643.51
7500 642.355
8000 642.779
8500 640.405
9000 640.678
9500 639.32
10000 637.208
10500 638.572
11000 637.311
11500 641.023
12000 639.706
12500 641.101
13000 640.871
13500 640.235
14000 640.732
14500 641.405
15000 642.994
15500 644.28
16000 642.11
16500 642.144
17000 641.522
17500 640.715
18000 642.781
18500 641.35
19000 642.179
19500 642.625
20000 640.659
20500 641.115
21000 642.665
21500 641.576
22000 640.474
22500 641.462
23000 641.219
23500 643.15
24000 641.563
24500 640.86
25000 643.567
25500 642.782
26000 642.808
26500 644.838
27000 642.268
27500 643.235
28000 643.305
28500 641.649
29000 639.374
29500 640.179
30000 636.48
30500 638.682
31000 638.413
31500 640.701
32000 638.985
32500 641.304
33000 640.748
33500 639.066
34000 641.036
34500 640.421
35000 639.397
35500 641.668
36000 641.601
36500 640.109
37000 640.144
37500 638.23
38000 638.163
38500 638.763
39000 637.894
39500 637.724
40000 634.186
40500 636.068
41000 634.348
41500 637.91
42000 639.357
42500 636.205
43000 639.775
43500 640.536
44000 640.149
44500 639.064
45000 639.279
45500 642.031
46000 640.84
46500 642.122
47000 642.992
47500 643.61
48000 643.864
48500 643.424
49000 643.183
49500 641.624
50000 642.401
50500 641.257
51000 645.253
51500 645.292
52000 643.841
52500 641.612
53000 643.102
53500 641.204
54000 642.317
54500 641.8
55000 639.838
55500 642.662
56000 643.946
56500 641.819
57000 639.594
57500 643.964
58000 643.243
58500 641.029
59000 639.499
59500 640.98
60000 639.543
60500 641.146
61000 638.487
61500 639.283
62000 640.408
62500 640.578
63000 640.856
63500 639.533
64000 639.459
64500 640.728
65000 641.534
65500 642.862
66000 641.937
66500 640.782
67000 640.609
67500 641.146
68000 641.162
68500 641.87
69000 642.371
69500 642.021
70000 641.65
70500 643.517
71000 643.562
71500 644.244
72000 642.474
72500 643.049
73000 641.814
73500 643.029
74000 640.492
74500 643.807
75000 641.127
75500 641.702
76000 642.857
76500 639.635
77000 641.28
77500 641.259
78000 641.167
78500 641.587
79000 641.9
79500 642.106
80000 641.24
80500 641.255
81000 641.79
81500 643.462
82000 640.554
82500 643.453
83000 640.446
83500 639.911
84000 640.611
84500 643.819
85000 643.428
85500 643.436
86000 641.088
86500 640.774
87000 640.352
87500 641.674
88000 642.794
88500 642.728
89000 639.928
89500 641.266
90000 642.144
90500 643.087
91000 642.756
91500 641.894
92000 643.14
92500 644.176
93000 642.715
93500 641.695
94000 641.947
94500 643.316
95000 642.656
95500 641.281
96000 643.191
96500 643.577
97000 643.354
97500 642.324
98000 641.973
98500 644.106
99000 642.456
99500 645.865
100000 646.725
100500 645.541
101000 647.157
101500 645.906
102000 645.46
102500 645.116
103000 644.767
103500 643.843
104000 642.862
104500 643.089
105000 643.228
105500 642.735
106000 642.251
106500 641.885
107000 644.506
107500 643.116
108000 642.169
108500 642.641
109000 641.935
109500 640.069
110000 641.378
110500 641.305
111000 641.979
111500 642.936
112000 644.495
112500 643.892
113000 641.396
113500 642.135
114000 640.255
114500 640.438
115000 641.886
115500 641.908
116000 645.185
116500 644.692
117000 642.459
117500 643.244
118000 642.901
118500 643.53
119000 641.294
119500 644.463
120000 642.204
