# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_pea
10000 25 6143.999999999999
  1 0.961072 246.75 0.0539794 -3.46999
  2 5.06107 242.13 0.0529688 -3.46582
  3 9.16107 241.38 0.0528047 -3.45936
  4 13.2611 235.73 0.0515687 -3.44138
  5 17.3611 245.11 0.0536207 -3.42087
  6 21.4611 250.83 0.054872 -3.41463
  7 25.5611 241.45 0.05282 -3.41422
  8 29.6611 237.13 0.0518749 -3.41493
  9 33.7611 254.67 0.055712 -3.42283
  10 37.8611 256.06 0.0560161 -3.44954
  11 41.9611 256 0.056003 -3.46605
  12 46.0611 255.92 0.0559855 -3.47033
  13 50.1611 255.95 0.055992 -3.47307
  14 54.2611 255.82 0.0559636 -3.47499
  15 58.3611 255.51 0.0558958 -3.47413
  16 62.4611 255.13 0.0558127 -3.4745
  17 66.5611 255.37 0.0558652 -3.47586
  18 70.6611 254 0.0555655 -3.47706
  19 74.7611 253.32 0.0554167 -3.47703
  20 78.8611 253.44 0.055443 -3.47603
  21 82.9611 251.92 0.0551104 -3.47486
  22 87.0611 250.93 0.0548939 -3.47373
  23 91.1611 249.38 0.0545548 -3.47558
  24 95.2611 246.99 0.0540319 -3.47545
  25 99.3611 143.08 0.0313004 -3.47412
20000 25 6144
  1 0.961072 247.38 0.0541173 -3.47177
  2 5.06107 244.43 0.0534719 -3.47039
  3 9.16107 242.28 0.0530016 -3.46269
  4 13.2611 234.53 0.0513062 -3.44165
  5 17.3611 243.93 0.0533625 -3.42082
  6 21.4611 252.43 0.055222 -3.4148
  7 25.5611 239.8 0.052459 -3.41086
  8 29.6611 237.19 0.0518881 -3.41066
  9 33.7611 254.13 0.0555939 -3.41889
  10 37.8611 256.38 0.0560861 -3.44747
  11 41.9611 256.1 0.0560249 -3.46848
  12 46.0611 255.94 0.0559899 -3.47439
  13 50.1611 255.86 0.0559724 -3.47502
  14 54.2611 255.57 0.0559089 -3.47497
  15 58.3611 255.99 0.0560008 -3.47536
  16 62.4611 255.25 0.0558389 -3.47516
  17 66.5611 255.15 0.055817 -3.47624
  18 70.6611 254.72 0.055723 -3.47586
  19 74.7611 253.69 0.0554976 -3.47594
  20 78.8611 253.19 0.0553883 -3.47554
  21 82.9611 250.92 0.0548917 -3.47493
  22 87.0611 251.04 0.0549179 -3.47507
  23 91.1611 248.47 0.0543557 -3.47481
  24 95.2611 246.34 0.0538897 -3.47292
  25 99.3611 143.29 0.0313464 -3.47267
30000 25 6143.999999999998
  1 0.961072 247.46 0.0541348 -3.4735
  2 5.06107 245.77 0.053765 -3.47301
  3 9.16107 242.77 0.0531088 -3.46643
  4 13.2611 237.44 0.0519428 -3.44922
  5 17.3611 238.55 0.0521856 -3.42538
  6 21.4611 254.6 0.0556967 -3.41388
  7 25.5611 242.7 0.0530935 -3.41185
  8 29.6611 236.17 0.0516649 -3.41062
  9 33.7611 252.31 0.0551958 -3.41898
  10 37.8611 256.01 0.0560052 -3.44359
  11 41.9611 256.18 0.0560424 -3.46385
  12 46.0611 255.91 0.0559833 -3.46831
  13 50.1611 255.7 0.0559374 -3.47094
  14 54.2611 255.7 0.0559374 -3.47181
  15 58.3611 255.56 0.0559067 -3.47327
  16 62.4611 255.36 0.055863 -3.47484
  17 66.5611 255.06 0.0557973 -3.47548
  18 70.6611 254.19 0.055607 -3.47509
  19 74.7611 253.84 0.0555305 -3.47524
  20 78.8611 251.75 0.0550732 -3.47573
  21 82.9611 251.53 0.0550251 -3.47578
  22 87.0611 249.91 0.0546707 -3.47591
  23 91.1611 248.66 0.0543973 -3.47529
  24 95.2611 246.65 0.0539576 -3.47479
  25 99.3611 144.22 0.0315498 -3.47478
40000 25 6144.000000000002
  1 0.961072 247.07 0.0540494 -3.47174
  2 5.06107 244.41 0.0534675 -3.46821
  3 9.16107 241.41 0.0528112 -3.46101
  4 13.2611 237.8 0.0520215 -3.44243
  5 17.3611 242.28 0.0530016 -3.42291
  6 21.4611 248.89 0.0544476 -3.4176
  7 25.5611 248.45 0.0543513 -3.41809
  8 29.6611 234.58 0.0513171 -3.41442
  9 33.7611 250.12 0.0547167 -3.41757
  10 37.8611 257.26 0.0562786 -3.43985
  11 41.9611 256.12 0.0560292 -3.46446
  12 46.0611 255.84 0.055968 -3.47149
  13 50.1611 255.77 0.0559527 -3.47261
  14 54.2611 255.82 0.0559636 -3.4734
  15 58.3611 255.66 0.0559286 -3.47396
  16 62.4611 255.34 0.0558586 -3.47514
  17 66.5611 254.85 0.0557514 -3.47569
  18 70.6611 254.51 0.055677 -3.47452
  19 74.7611 253.89 0.0555414 -3.47537
  20 78.8611 253 0.0553467 -3.4762
  21 82.9611 252.32 0.0551979 -3.47572
  22 87.0611 249.5 0.054581 -3.47492
  23 91.1611 248.46 0.0543535 -3.47377
  24 95.2611 246.93 0.0540188 -3.47311
  25 99.3611 143.72 0.0314404 -3.47338
50000 25 6144
  1 0.961072 247.94 0.0542398 -3.47115
  2 5.06107 243.99 0.0533757 -3.47082
  3 9.16107 242.09 0.05296 -3.46152
  4 13.2611 234.57 0.0513149 -3.44002
  5 17.3611 245.61 0.05373 -3.42024
  6 21.4611 251.94 0.0551148 -3.41643
  7 25.5611 239.49 0.0523912 -3.41247
  8 29.6611 239.85 0.05247 -3.41118
  9 33.7611 252.63 0.0552658 -3.42245
  10 37.8611 256.47 0.0561058 -3.45276
  11 41.9611 255.97 0.0559964 -3.46986
  12 46.0611 255.93 0.0559877 -3.47305
  13 50.1611 255.9 0.0559811 -3.47297
  14 54.2611 255.75 0.0559483 -3.474
  15 58.3611 255.62 0.0559199 -3.47439
  16 62.4611 255.34 0.0558586 -3.47495
  17 66.5611 254.97 0.0557777 -3.4743
  18 70.6611 254.71 0.0557208 -3.47494
  19 74.7611 253.77 0.0555151 -3.47588
  20 78.8611 253.29 0.0554101 -3.47628
  21 82.9611 250.78 0.054861 -3.47592
  22 87.0611 250.12 0.0547167 -3.47431
  23 91.1611 249.01 0.0544738 -3.47443
  24 95.2611 245.97 0.0538088 -3.47232
  25 99.3611 142.29 0.0311276 -3.47124
60000 25 6144
  1 0.961072 245.27 0.0536557 -3.47013
  2 5.06107 245.14 0.0536272 -3.46957
  3 9.16107 240.96 0.0527128 -3.4629
  4 13.2611 237.88 0.052039 -3.44442
  5 17.3611 243.01 0.0531613 -3.42303
  6 21.4611 255 0.0557842 -3.4155
  7 25.5611 242.1 0.0529622 -3.41539
  8 29.6611 235.54 0.0515271 -3.41566
  9 33.7611 253.88 0.0555392 -3.41887
  10 37.8611 256.29 0.0560664 -3.44706
  11 41.9611 256.18 0.0560424 -3.46743
  12 46.0611 256 0.056003 -3.47354
  13 50.1611 255.97 0.0559964 -3.47509
  14 54.2611 255.72 0.0559417 -3.47557
  15 58.3611 255.7 0.0559374 -3.4755
  16 62.4611 255.6 0.0559155 -3.47613
  17 66.5611 254.92 0.0557667 -3.47576
  18 70.6611 254.56 0.055688 -3.47492
  19 74.7611 253.39 0.055432 -3.47385
  20 78.8611 252.59 0.055257 -3.47293
  21 82.9611 250.99 0.054907 -3.47314
  22 87.0611 250.68 0.0548392 -3.47307
  23 91.1611 248.3 0.0543185 -3.47389
  24 95.2611 245.08 0.0536141 -3.47166
  25 99.3611 143.25 0.0313376 -3.47147
70000 25 6144.000000000001
  1 0.961072 246.59 0.0539444 -3.47237
  2 5.06107 243.66 0.0533035 -3.46913
  3 9.16107 239.99 0.0525006 -3.45669
  4 13.2611 234.22 0.0512384 -3.4331
  5 17.3611 245.14 0.0536272 -3.41697
  6 21.4611 250.61 0.0548239 -3.41445
  7 25.5611 238.75 0.0522293 -3.41407
  8 29.6611 241.97 0.0529338 -3.41413
  9 33.7611 253.52 0.0554605 -3.42671
  10 37.8611 256.64 0.056143 -3.45557
  11 41.9611 256.01 0.0560052 -3.47187
  12 46.0611 255.8 0.0559592 -3.4747
  13 50.1611 256.02 0.0560074 -3.47545
  14 54.2611 255.74 0.0559461 -3.47487
  15 58.3611 255.79 0.055957 -3.47337
  16 62.4611 255.25 0.0558389 -3.47428
  17 66.5611 255.42 0.0558761 -3.47519
  18 70.6611 254.93 0.0557689 -3.47719
  19 74.7611 253.5 0.0554561 -3.4763
  20 78.8611 252.96 0.0553379 -3.475
  21 82.9611 252.16 0.0551629 -3.47362
  22 87.0611 249.85 0.0546576 -3.47215
  23 91.1611 248.4 0.0543404 -3.47183
  24 95.2611 247.6 0.0541654 -3.47284
  25 99.3611 143.48 0.0313879 -3.47373
80000 25 6144
  1 0.961072 247.08 0.0540516 -3.47323
  2 5.06107 245.05 0.0536075 -3.46833
  3 9.16107 239.96 0.052494 -3.45776
  4 13.2611 234.01 0.0511924 -3.4373
  5 17.3611 243.83 0.0533407 -3.41874
  6 21.4611 251.47 0.055012 -3.41437
  7 25.5611 241.45 0.05282 -3.41209
  8 29.6611 236.91 0.0518268 -3.41119
  9 33.7611 254.97 0.0557777 -3.42264
  10 37.8611 255.99 0.0560008 -3.45254
  11 41.9611 256.06 0.0560161 -3.47206
  12 46.0611 256 0.056003 -3.47545
  13 50.1611 255.7 0.0559374 -3.47407
  14 54.2611 255.97 0.0559964 -3.47476
  15 58.3611 255.44 0.0558805 -3.47582
  16 62.4611 255.61 0.0559177 -3.47558
  17 66.5611 255.31 0.055852 -3.47458
  18 70.6611 254.69 0.0557164 -3.47506
  19 74.7611 254.31 0.0556333 -3.47617
  20 78.8611 252.45 0.0552264 -3.47445
  21 82.9611 251.46 0.0550098 -3.47338
  22 87.0611 249.86 0.0546598 -3.47337
  23 91.1611 248.46 0.0543535 -3.47407
  24 95.2611 248.14 0.0542835 -3.47408
  25 99.3611 143.82 0.0314623 -3.4744
90000 25 6143.999999999999
  1 0.961072 248.92 0.0544541 -3.47236
  2 5.06107 243.94 0.0533647 -3.4684
  3 9.16107 240.58 0.0526297 -3.45809
  4 13.2611 234.43 0.0512843 -3.43659
  5 17.3611 247.64 0.0541741 -3.42041
  6 21.4611 250.1 0.0547123 -3.41512
  7 25.5611 239.37 0.052365 -3.41368
  8 29.6611 239.71 0.0524394 -3.41431
  9 33.7611 255.27 0.0558433 -3.4261
  10 37.8611 256.09 0.0560227 -3.45483
  11 41.9611 256.07 0.0560183 -3.47257
  12 46.0611 255.99 0.0560008 -3.47599
  13 50.1611 255.83 0.0559658 -3.47643
  14 54.2611 255.9 0.0559811 -3.47615
  15 58.3611 255.67 0.0559308 -3.47644
  16 62.4611 255.67 0.0559308 -3.47538
  17 66.5611 255.14 0.0558148 -3.47482
  18 70.6611 254.48 0.0556705 -3.4732
  19 74.7611 253.4 0.0554342 -3.47261
  20 78.8611 251.9 0.0551061 -3.4719
  21 82.9611 251.84 0.0550929 -3.47125
  22 87.0611 249.34 0.054546 -3.47163
  23 91.1611 247.24 0.0540866 -3.47257
  24 95.2611 245.79 0.0537694 -3.47172
  25 99.3611 143.69 0.0314339 -3.47242
100000 25 6143.999999999999
  1 0.961072 248.21 0.0542988 -3.47379
  2 5.06107 243.96 0.0533691 -3.46913
  3 9.16107 239.78 0.0524547 -3.45674
  4 13.2611 234.23 0.0512405 -3.43167
  5 17.3611 246.25 0.0538701 -3.41615
  6 21.4611 247.5 0.0541435 -3.4123
  7 25.5611 237.88 0.052039 -3.41235
  8 29.6611 244.67 0.0535244 -3.41878
  9 33.7611 255.22 0.0558323 -3.43857
  10 37.8611 256.16 0.056038 -3.46487
  11 41.9611 255.99 0.0560008 -3.47387
  12 46.0611 255.91 0.0559833 -3.47311
  13 50.1611 255.9 0.0559811 -3.473
  14 54.2611 255.72 0.0559417 -3.47336
  15 58.3611 255.42 0.0558761 -3.47282
  16 62.4611 255.77 0.0559527 -3.47165
  17 66.5611 255.16 0.0558192 -3.47197
  18 70.6611 254.12 0.0555917 -3.47219
  19 74.7611 253.83 0.0555283 -3.47114
  20 78.8611 251.12 0.0549354 -3.47324
  21 82.9611 251.96 0.0551192 -3.47425
  22 87.0611 249.33 0.0545438 -3.47386
  23 91.1611 248.86 0.054441 -3.47433
  24 95.2611 246.22 0.0538635 -3.47469
