id,fx,fy,fz
1,-7.4720546088e-01,2.8743919957e-01,-8.2696254099e-01
2,-3.1771716044e-01,5.0016777364e-01,-5.4706763764e-01
3,1.6860092292e-01,-9.4578995126e-01,7.1049819328e-01
4,-6.7288820239e-03,6.8084943125e-01,-1.0488734763e+00
5,2.4281779267e-01,-1.0022821063e+00,3.1860917585e-01
6,5.0624201582e-01,2.9703827437e-01,6.8166062488e-01
7,-1.1657239833e+00,2.8847259301e-01,-1.6677705316e-01
8,8.5682887572e-01,-9.9520946632e-01,-6.5315474021e-01
9,-3.7840547880e-01,1.4821732095e-01,5.5794804848e-01
10,9.5786885039e-01,8.5975373960e-01,-5.0833980704e-01
11,-3.4313014114e-01,-6.0827473032e-01,2.3748748155e-01
12,-1.3178358730e-01,2.4586003574e-01,9.8529534081e-01
13,2.3195908390e-01,2.3873007705e-01,3.3368803202e-01
14,-2.3797112005e-01,-4.2803085748e-02,-8.8719266043e-01
15,-2.1518967247e-01,-2.7936800102e-01,-5.6876471876e-01
16,-8.1555664241e-01,-6.0894733152e-01,2.4355073076e-01
17,-4.7425478811e-01,4.4157971960e-01,3.6930150757e-02
18,1.1287371558e+00,-5.8633631627e-01,-5.6503941154e-01
19,5.5463085713e-02,-8.3133217663e-01,1.3900944324e-01
20,-5.1664982807e-01,1.3161768766e-01,7.8813512740e-01
21,1.0935374394e-01,-1.7933190945e-01,-5.2835913956e-01
22,-8.0146845483e-01,-1.3656703526e-01,-1.2200022251e-01
23,2.8780473851e-01,5.1537440442e-01,8.3425489257e-01
24,1.1966559083e-01,7.8411540953e-01,4.3597160443e-01
25,-6.8685628545e-02,-2.7537755322e-01,1.3023856531e+00
26,5.2657221732e-01,5.7542349687e-01,2.1148412977e-03
27,-4.2588931055e-01,-8.2158351430e-01,-4.3584831256e-01
28,4.6877886341e-01,-2.2337290032e-01,8.3363295827e-01
29,1.9986453102e-01,1.4380905392e+00,-6.6588505483e-01
30,-4.2893271204e-01,1.0521712792e+00,1.4186014119e-01
31,7.9452646258e-01,-2.6260209990e-01,1.0175353650e-01
32,6.1892493293e-02,3.3757226502e-01,-6.5981892321e-01
33,2.7518010901e-01,9.0518573932e-01,5.1354562022e-01
34,-4.8419768830e-01,-7.5177436952e-01,-1.6672608117e-01
35,6.1700847351e-01,-7.2600370809e-01,-4.5477352061e-01
36,-6.9329491586e-01,4.0486626023e-01,-4.7042532794e-01
37,4.6816428002e-01,-9.5631095935e-01,4.4595277890e-01
38,1.9318402875e-01,1.5635098603e-01,-2.6788162490e-01
39,3.6370253788e-01,-5.9866248336e-01,-5.4454424888e-01
40,-3.7276140864e-01,2.3801964866e-01,6.6275302338e-01
41,-6.8921949435e-01,-3.2938828827e-02,2.1866082195e-02
42,2.1981392228e-02,8.0921787547e-01,1.0873557524e-01
43,6.5053462143e-02,5.8082475701e-01,8.0601658957e-01
44,-2.2203455838e-02,4.1885021694e-01,-9.6840545094e-01
45,3.9427048350e-01,-6.9767417596e-02,2.3257764243e-01
46,1.0924366679e+00,-7.8100705274e-01,9.6872875827e-02
47,-7.8363339585e-01,1.0723262673e+00,-4.2748529669e-01
48,-7.0527131526e-02,-1.2847158982e+00,-8.8714174907e-02
49,-7.0549047520e-01,4.7544490036e-01,1.1878038230e-01
50,-2.4023010265e-01,-2.2353874410e-01,7.6968927354e-01
51,-4.9246111660e-01,-4.4869200252e-01,5.8716489878e-01
52,-6.8360880127e-02,6.7393909348e-01,-3.7851044771e-01
53,6.4615821476e-01,-6.2113249813e-01,-2.9081100826e-02
54,-6.0150115650e-01,3.0315577370e-01,1.7226930575e-02
55,9.7783281753e-01,4.4569547418e-01,9.4367110929e-02
56,-4.3182660449e-01,-3.7327741748e-01,-4.7203093954e-01
57,-1.3881384620e-01,-5.6556018582e-01,6.6961197761e-01
58,-5.8632755003e-02,4.1106685996e-01,-1.0167957131e+00
59,3.3776040668e-01,-5.6974488965e-02,-2.4593767622e-01
60,-7.8192552614e-01,-7.0976784541e-01,-4.1421269858e-01
61,-5.5946314640e-01,-6.8344770480e-01,1.2028488749e-01
62,8.0232156280e-01,-3.7878581338e-01,-4.2251414754e-02
63,1.1612855711e-01,1.4029340773e+00,-2.2965879477e-01
64,7.3565110106e-01,-7.7107382121e-01,2.6317238874e-01
65,1.1775579086e+00,-3.8738370021e-01,4.3118331632e-01
66,1.2212089789e+00,-6.1524160893e-01,-4.6781819869e-01
67,8.8283034025e-01,4.5383700638e-01,-5.0636696315e-01
68,-9.7564414426e-01,2.7652050585e-01,1.0334211110e+00
69,-2.2660095936e-01,1.1476079099e+00,5.5515515500e-01
70,-3.3150916475e-01,7.0253248875e-01,-6.8759163365e-01
71,-5.1436156918e-01,-1.9675963892e-01,6.7507454905e-01
72,-7.8745595829e-01,-6.6885472213e-01,-8.4494313966e-01
